product,price,rating,rating_count,url,source_file,ingestion_time,current_price,min_price,price_change,pca_score,pca_anomaly,discount,discount_percent
Samsung 108 cm (43 inches) Crystal 4K Series Ultra HD Smart LED TV UA43AUE60AKLXL (Black) (2021 Model),38990,4.3,"2,271",https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02756721Z6F8RSM7TLP2&url=%2FSamsung-inches-Crystal-Ultra-UA43AUE60AKLXL%2Fdp%2FB092BJMT8Q%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dtelevision%26qid%3D1632863077%26sr%3D8-1-spons%26psc%3D1&qualifier=1632863077&id=8222526539120607&widgetName=sp_atf,amazon_tvs.csv,2026-04-19 19:34:23.556021,29983.48278632482,38990,-0.23099556844511873,0.18382317165909265,False,9006.517213675179,23.099556844511874
Samsung 108 cm (43 Inches) Wondertainment Series Full HD LED Smart TV UA43TE50AAKXXL (Titan Gray) (2020 model),32990,4.3,"8,938",https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A10120001UTA5TM7KOBRK&url=%2FSamsung-Inches-Wondertainment-Smart-UA43TE50AAKXXL%2Fdp%2FB086R98PKS%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dtelevision%26qid%3D1632863077%26sr%3D8-2-spons%26psc%3D1&qualifier=1632863077&id=8222526539120607&widgetName=sp_atf,amazon_tvs.csv,2026-04-19 19:34:23.556021,32583.32436488894,32990,-0.01232723962143255,0.7055207543982522,False,406.6756351110598,1.232723962143255
Mi 80 cm (32 inches) HD Ready Android Smart LED TV 4A PRO | L32M5-AL (Black),16999,4.3,"54,996",https://www.amazon.in//gp/bestsellers/electronics/15747864031/ref=sr_bs_2_15747864031_1,amazon_tvs.csv,2026-04-19 19:34:23.556021,15875.427419758156,16999,-0.066096392743211,-0.654458898116477,False,1123.5725802418438,6.6096392743211
LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray) (2020 Model),17999,4.3,"10,898",https://www.amazon.in//LG-inches-Ready-Smart-32LM563BPTC/dp/B08DPLCM6T/ref=sr_1_5?dchild=1&keywords=television&qid=1632863077&sr=8-5,amazon_tvs.csv,2026-04-19 19:34:23.556021,14087.63700312458,17999,-0.2173100170495816,-1.1308851825821167,False,3911.3629968754194,21.73100170495816
OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black) (2020 Model),15999,4.2,"23,471",https://www.amazon.in//OnePlus-inches-Ready-Android-32Y1/dp/B08B42LWKN/ref=sr_1_6?dchild=1&keywords=television&qid=1632863077&sr=8-6,amazon_tvs.csv,2026-04-19 19:34:23.556021,14281.72463560056,15999,-0.10733641880114007,-0.871773577398353,False,1717.2753643994402,10.733641880114007
OnePlus 108 cm (43 inches) Y Series Full HD LED Smart Android TV 43Y1 (Black) (2020 Model),25999,4.2,"23,471",https://www.amazon.in//OnePlus-inches-Smart-Android-43Y1/dp/B08B42HNH7/ref=sr_1_7?dchild=1&keywords=television&qid=1632863077&sr=8-7,amazon_tvs.csv,2026-04-19 19:34:23.556021,22487.579773568712,25999,-0.13505981870192268,-0.2850752724653294,False,3511.420226431288,13.505981870192269
TCL 100 cm (40 inches) Full HD Certified Android Smart LED TV 40S6500FS (Black) (2020 Model),24999,4.2,"3,941",https://www.amazon.in//TCL-100-3cm-inches-Android-Smart/dp/B07KCCWJTP/ref=sr_1_10?dchild=1&keywords=television&qid=1632863077&sr=8-10,amazon_tvs.csv,2026-04-19 19:34:23.556021,24223.515685451166,24999,-0.03102061340648962,0.049741294166821805,False,775.4843145488339,3.102061340648962
Samsung 138 cm (55 Inches) Wondertainment Series Ultra HD LED Smart TV UA55TUE60AKXXL (Titan Gray) (2020 model),51999,4.5,912,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A049916039DP43C3W9CBR&url=%2FSamsung-Inches-Wondertainment-Ultra-UA55TUE60AKXXL%2Fdp%2FB086RB5VSJ%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3Dtelevision%26qid%3D1632863077%26sr%3D8-11-spons%26psc%3D1&qualifier=1632863077&id=8222526539120607&widgetName=sp_mtf,amazon_tvs.csv,2026-04-19 19:34:23.556021,43013.72336260247,51999,-0.17279710450965466,1.3124379967291386,False,8985.276637397532,17.279710450965467
Sony Bravia 80 cm (32 inches) HD Ready Smart Android LED TV KD-32W820 (Black) (2021 Model) | with Alexa Compatibility,31900,4.7,276,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0941117T5Z7UJQFCV76&url=%2FSony-Bravia-Android-KD-32W820-Compatibility%2Fdp%2FB0918SB429%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Dtelevision%26qid%3D1632863077%26sr%3D8-12-spons%26psc%3D1&qualifier=1632863077&id=8222526539120607&widgetName=sp_mtf,amazon_tvs.csv,2026-04-19 19:34:23.556021,23611.621929126475,31900,-0.2598237639772265,-0.3960107152818064,False,8288.378070873525,25.98237639772265
TCL 107.86 cm (43 inches) Full HD LED Certified Android Smart TV P30 43P30FS (Black),23999,4.0,277,https://www.amazon.in//TCL-109-3-inches-43P30FS-Smart/dp/B07GS7FCQ3/ref=sr_1_13?dchild=1&keywords=television&qid=1632863077&sr=8-13,amazon_tvs.csv,2026-04-19 19:34:23.556021,20250.554075837346,23999,-0.15619175482989514,-0.5032300219581235,False,3748.4459241626537,15.619175482989514
VW 60 cm (24 inches) HD Ready LED TV VW24A (Black) (2021 Model),8999,4.3,537,https://www.amazon.in//Visio-World-inches-VW24A-Ready/dp/B07MDRGHWQ/ref=sr_1_14?dchild=1&keywords=television&qid=1632863077&sr=8-14,amazon_tvs.csv,2026-04-19 19:34:23.556021,6689.893952899878,8999,-0.2565958492165932,-1.8496141450622852,False,2309.106047100122,25.659584921659317
Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340AKXXL (Glossy Black) (2020 Model),18290,4.3,"8,938",https://www.amazon.in//Samsung-Inches-Wondertainment-UA32T4340AKXXL-Glossy/dp/B086WZSK4F/ref=sr_1_15?dchild=1&keywords=television&qid=1632863077&sr=8-15,amazon_tvs.csv,2026-04-19 19:34:23.556021,13363.206311332044,18290,-0.26937089604526826,-1.300862541240122,False,4926.793688667956,26.937089604526825
Mi 108 cm (43 Inches) Full HD Android Smart LED TV 4A PRO|L43M5-AN (Black),26999,4.3,"54,996",https://www.amazon.in//Mi-LED-Full-Android-Black/dp/B07T89Z35Z/ref=sr_1_16?dchild=1&keywords=television&qid=1632863077&sr=8-16,amazon_tvs.csv,2026-04-19 19:34:23.556021,24731.49120552568,26999,-0.08398491775526208,-0.01483451330591469,False,2267.508794474321,8.398491775526209
Vu 108 cm (43 inches) Full HD UltraAndroid LED TV 43GA (Black) (2019 Model),26990,4.3,"9,772",https://www.amazon.in//inches-UltraAndroid-43GA-Black-Model/dp/B07XMD275S/ref=sr_1_17?dchild=1&keywords=television&qid=1632863077&sr=8-17,amazon_tvs.csv,2026-04-19 19:34:23.556021,21369.265484296026,26990,-0.2082524829827334,-0.5062619896655718,False,5620.7345157039745,20.82524829827334
Mi 108 cm (43 Inches) 4K Ultra HD Android Smart LED TV 4X|L43M4-4AIN (Black),29999,4.4,"16,108",https://www.amazon.in//108-Inches-Ultra-Android-Black/dp/B08JDQVMBK/ref=sr_1_18?dchild=1&keywords=television&qid=1632863077&sr=8-18,amazon_tvs.csv,2026-04-19 19:34:23.556021,29022.860004174563,29999,-0.0325390844969978,0.40513658785619644,False,976.1399958254369,3.25390844969978
